Player_Name,Team_Initials,Matches_Played,Goals_Scored,Yellow_Cards,Red_Cards,Goals_Per_Match
Anatoli BANISHEVSKI,URS,6,1,0,0,0.167
Anatoli DEMYANENKO,URS,12,0,0,0,0.0
Anatoli ILYIN,URS,5,2,0,0,0.4
Anatoli MASLYONKIN,URS,9,0,0,0,0.0
Anatoli NANKOV,BUL,3,0,3,1,0.0
Anatoli PUZACH,URS,4,0,0,0,0.0
Anatoly BISHOVETS,URS,4,4,1,0,1.0
Andeas OGRIS,AUT,3,1,0,0,0.333
Anders LIMPAR,SWE,10,0,0,0,0.0
Anders LINDEROTH,SWE,3,0,0,0,0.0
Anders RYDBERG,SWE,2,0,0,0,0.0
Andoni ZUBIZARRETA,ESP,5,0,0,0,0.0
Andranik ESKANDARIAN,IRN,3,0,2,0,0.0
Andras TOROCSIK,HUN,6,0,1,1,0.0
Andras TOTH,HUN,3,0,0,0,0.0
Andre ABEGGLEN,SUI,5,4,0,0,0.8
Andre CHORDA,FRA,3,0,0,0,0.0
Andre GROBETY,SUI,6,0,0,0,0.0
Andre KANA-BIYIK,CMR,8,0,3,1,0.0
